DATE,IPG31192NQ,Quarter
1972-01-01,94.7374,Q1 1972
1972-04-01,88.4465,Q2 1972
1972-07-01,83.2135,Q3 1972
1972-10-01,94.3292,Q4 1972
1973-01-01,99.8695,Q1 1973
1973-04-01,91.8078,Q2 1973
1973-07-01,81.377,Q3 1973
1973-10-01,96.1061,Q4 1973
1974-01-01,96.5859,Q1 1974
1974-04-01,84.9951,Q2 1974
1974-07-01,69.8052,Q3 1974
1974-10-01,93.1221,Q4 1974
1975-01-01,91.5722,Q1 1975
1975-04-01,87.4633,Q2 1975
1975-07-01,93.5887,Q3 1975
1975-10-01,92.0663,Q4 1975
1976-01-01,112.9248,Q1 1976
1976-04-01,98.8115,Q2 1976
1976-07-01,75.6127,Q3 1976
1976-10-01,86.9103,Q4 1976
1977-01-01,90.6391,Q1 1977
1977-04-01,60.6342,Q2 1977
1977-07-01,45.3387,Q3 1977
1977-10-01,76.497,Q4 1977
1978-01-01,94.2368,Q1 1978
1978-04-01,76.3716,Q2 1978
1978-07-01,79.7433,Q3 1978
1978-10-01,95.7067,Q4 1978
1979-01-01,99.9674,Q1 1979
1979-04-01,88.8467,Q2 1979
1979-07-01,76.5526,Q3 1979
1979-10-01,88.2889,Q4 1979
1980-01-01,92.0712,Q1 1980
1980-04-01,87.6408,Q2 1980
1980-07-01,82.1213,Q3 1980
1980-10-01,97.3267,Q4 1980
1981-01-01,101.8097,Q1 1981
1981-04-01,82.224,Q2 1981
1981-07-01,79.4542,Q3 1981
1981-10-01,99.9766,Q4 1981
1982-01-01,93.7932,Q1 1982
1982-04-01,79.982,Q2 1982
1982-07-01,86.657,Q3 1982
1982-10-01,109.8684,Q4 1982
1983-01-01,92.4446,Q1 1983
1983-04-01,80.6669,Q2 1983
1983-07-01,90.1278,Q3 1983
1983-10-01,106.3893,Q4 1983
1984-01-01,95.105,Q1 1984
1984-04-01,85.8155,Q2 1984
1984-07-01,92.1961,Q3 1984
1984-10-01,106.773,Q4 1984
1985-01-01,99.7549,Q1 1985
1985-04-01,84.7944,Q2 1985
1985-07-01,90.8176,Q3 1985
1985-10-01,117.3889,Q4 1985
1986-01-01,98.3456,Q1 1986
1986-04-01,72.3393,Q2 1986
1986-07-01,88.0487,Q3 1986
1986-10-01,97.9345,Q4 1986
1987-01-01,89.5715,Q1 1987
1987-04-01,82.0584,Q2 1987
1987-07-01,87.0572,Q3 1987
1987-10-01,104.8431,Q4 1987
1988-01-01,95.3089,Q1 1988
1988-04-01,80.8378,Q2 1988
1988-07-01,84.1587,Q3 1988
1988-10-01,107.2579,Q4 1988
1989-01-01,95.7512,Q1 1989
1989-04-01,76.6172,Q2 1989
1989-07-01,79.453,Q3 1989
1989-10-01,101.7408,Q4 1989
1990-01-01,101.0371,Q1 1990
1990-04-01,87.323,Q2 1990
1990-07-01,91.0708,Q3 1990
1990-10-01,110.6451,Q4 1990
1991-01-01,103.0211,Q1 1991
1991-04-01,85.1796,Q2 1991
1991-07-01,85.1539,Q3 1991
1991-10-01,101.6354,Q4 1991
1992-01-01,89.3983,Q1 1992
1992-04-01,72.7962,Q2 1992
1992-07-01,78.6833,Q3 1992
1992-10-01,98.4085,Q4 1992
1993-01-01,91.7273,Q1 1993
1993-04-01,80.732,Q2 1993
1993-07-01,81.988,Q3 1993
1993-10-01,100.974,Q4 1993
1994-01-01,87.1034,Q1 1994
1994-04-01,72.9725,Q2 1994
1994-07-01,76.7197,Q3 1994
1994-10-01,78.1146,Q4 1994
1995-01-01,76.7457,Q1 1995
1995-04-01,63.5993,Q2 1995
1995-07-01,68.1287,Q3 1995
1995-10-01,82.2079,Q4 1995
1996-01-01,78.0103,Q1 1996
1996-04-01,74.1489,Q2 1996
1996-07-01,77.6071,Q3 1996
1996-10-01,93.6684,Q4 1996
1997-01-01,81.6303,Q1 1997
1997-04-01,71.6414,Q2 1997
1997-07-01,68.8872,Q3 1997
1997-10-01,78.8402,Q4 1997
1998-01-01,74.7443,Q1 1998
1998-04-01,68.0558,Q2 1998
1998-07-01,70.9356,Q3 1998
1998-10-01,86.8817,Q4 1998
1999-01-01,79.9383,Q1 1999
1999-04-01,73.9605,Q2 1999
1999-07-01,71.1752,Q3 1999
1999-10-01,86.1027,Q4 1999
2000-01-01,73.7376,Q1 2000
2000-04-01,62.2069,Q2 2000
2000-07-01,62.6215,Q3 2000
2000-10-01,73.4723,Q4 2000
2001-01-01,65.0932,Q1 2001
2001-04-01,57.5704,Q2 2001
2001-07-01,54.3032,Q3 2001
2001-10-01,62.3572,Q4 2001
2002-01-01,59.6523,Q1 2002
2002-04-01,60.1386,Q2 2002
2002-07-01,60.5008,Q3 2002
2002-10-01,62.2979,Q4 2002
2003-01-01,59.8207,Q1 2003
2003-04-01,62.6903,Q2 2003
2003-07-01,62.1521,Q3 2003
2003-10-01,63.7534,Q4 2003
2004-01-01,63.3522,Q1 2004
2004-04-01,61.9715,Q2 2004
2004-07-01,58.7573,Q3 2004
2004-10-01,56.955,Q4 2004
2005-01-01,56.3088,Q1 2005
2005-04-01,56.5828,Q2 2005
2005-07-01,57.6892,Q3 2005
2005-10-01,58.7449,Q4 2005
2006-01-01,60.5131,Q1 2006
2006-04-01,63.5951,Q2 2006
2006-07-01,64.2745,Q3 2006
2006-10-01,64.3505,Q4 2006
2007-01-01,62.5098,Q1 2007
2007-04-01,66.8409,Q2 2007
2007-07-01,69.9441,Q3 2007
2007-10-01,68.067,Q4 2007
2008-01-01,66.3196,Q1 2008
2008-04-01,69.1162,Q2 2008
2008-07-01,68.5184,Q3 2008
2008-10-01,69.0971,Q4 2008
2009-01-01,66.7236,Q1 2009
2009-04-01,69.2484,Q2 2009
2009-07-01,69.1278,Q3 2009
2009-10-01,71.0955,Q4 2009
2010-01-01,72.0197,Q1 2010
2010-04-01,78.2919,Q2 2010
2010-07-01,79.5419,Q3 2010
2010-10-01,81.7474,Q4 2010
2011-01-01,77.4972,Q1 2011
2011-04-01,81.5477,Q2 2011
2011-07-01,80.1909,Q3 2011
2011-10-01,81.7497,Q4 2011
2012-01-01,81.8052,Q1 2012
2012-04-01,85.2142,Q2 2012
2012-07-01,89.0954,Q3 2012
2012-10-01,86.7218,Q4 2012
2013-01-01,82.0594,Q1 2013
2013-04-01,83.1677,Q2 2013
2013-07-01,86.7078,Q3 2013
2013-10-01,91.1012,Q4 2013
2014-01-01,89.9394,Q1 2014
2014-04-01,98.2711,Q2 2014
2014-07-01,100.8698,Q3 2014
2014-10-01,104.6649,Q4 2014
2015-01-01,99.3422,Q1 2015
2015-04-01,97.5355,Q2 2015
2015-07-01,98.7228,Q3 2015
2015-10-01,101.8621,Q4 2015
2016-01-01,102.4397,Q1 2016
2016-04-01,104.1282,Q2 2016
2016-07-01,103.1943,Q3 2016
2016-10-01,103.0477,Q4 2016
2017-01-01,100.9091,Q1 2017
2017-04-01,101.0157,Q2 2017
2017-07-01,98.2944,Q3 2017
2017-10-01,99.7808,Q4 2017
2018-01-01,94.1887,Q1 2018
2018-04-01,93.7451,Q2 2018
2018-07-01,90.576,Q3 2018
2018-10-01,83.8762,Q4 2018
2019-01-01,78.036,Q1 2019
2019-04-01,80.432,Q2 2019
2019-07-01,83.5635,Q3 2019
2019-10-01,92.825,Q4 2019
2020-01-01,92.6778,Q1 2020
2020-04-01,83.1155,Q2 2020
2020-07-01,87.092,Q3 2020
2020-10-01,90.3758,Q4 2020
2021-01-01,88.9742,Q1 2021
2021-04-01,89.7927,Q2 2021
2021-07-01,89.5953,Q3 2021
2021-10-01,92.4326,Q4 2021
2022-01-01,93.9633,Q1 2022
2022-04-01,95.0807,Q2 2022
2022-07-01,95.3605,Q3 2022
2022-10-01,94.8676,Q4 2022
2023-01-01,92.8433,Q1 2023
2023-04-01,91.2367,Q2 2023
2023-07-01,92.1948,Q3 2023
