DATE,IPG31192NQ
1972-01-01,94.7374
1972-04-01,88.4465
1972-07-01,83.2135
1972-10-01,94.3292
1973-01-01,99.8695
1973-04-01,91.8078
1973-07-01,81.3770
1973-10-01,96.1061
1974-01-01,96.5859
1974-04-01,84.9951
1974-07-01,69.8052
1974-10-01,93.1221
1975-01-01,91.5722
1975-04-01,87.4633
1975-07-01,93.5887
1975-10-01,92.0663
1976-01-01,112.9248
1976-04-01,98.8115
1976-07-01,75.6127
1976-10-01,86.9103
1977-01-01,90.6391
1977-04-01,60.6342
1977-07-01,45.3387
1977-10-01,76.4970
1978-01-01,94.2368
1978-04-01,76.3716
1978-07-01,79.7433
1978-10-01,95.7067
1979-01-01,99.9674
1979-04-01,88.8467
1979-07-01,76.5526
1979-10-01,88.2889
1980-01-01,92.0712
1980-04-01,87.6408
1980-07-01,82.1213
1980-10-01,97.3267
1981-01-01,101.8097
1981-04-01,82.2240
1981-07-01,79.4542
1981-10-01,99.9766
1982-01-01,93.7932
1982-04-01,79.9820
1982-07-01,86.6570
1982-10-01,109.8684
1983-01-01,92.4446
1983-04-01,80.6669
1983-07-01,90.1278
1983-10-01,106.3893
1984-01-01,95.1050
1984-04-01,85.8155
1984-07-01,92.1961
1984-10-01,106.7730
1985-01-01,99.7549
1985-04-01,84.7944
1985-07-01,90.8176
1985-10-01,117.3889
1986-01-01,98.3456
1986-04-01,72.3393
1986-07-01,88.0487
1986-10-01,97.9345
1987-01-01,89.5715
1987-04-01,82.0584
1987-07-01,87.0572
1987-10-01,104.8431
1988-01-01,95.3089
1988-04-01,80.8378
1988-07-01,84.1587
1988-10-01,107.2579
1989-01-01,95.7512
1989-04-01,76.6172
1989-07-01,79.4530
1989-10-01,101.7408
1990-01-01,101.0371
1990-04-01,87.3230
1990-07-01,91.0708
1990-10-01,110.6451
1991-01-01,103.0211
1991-04-01,85.1796
1991-07-01,85.1539
1991-10-01,101.6354
1992-01-01,89.3983
1992-04-01,72.7962
1992-07-01,78.6833
1992-10-01,98.4085
1993-01-01,91.7273
1993-04-01,80.7320
1993-07-01,81.9880
1993-10-01,100.9740
1994-01-01,87.1034
1994-04-01,72.9725
1994-07-01,76.7197
1994-10-01,78.1146
1995-01-01,76.7457
1995-04-01,63.5993
1995-07-01,68.1287
1995-10-01,82.2079
1996-01-01,78.0103
1996-04-01,74.1489
1996-07-01,77.6071
1996-10-01,93.6684
1997-01-01,81.6303
1997-04-01,71.6414
1997-07-01,68.8872
1997-10-01,78.8402
1998-01-01,74.7443
1998-04-01,68.0558
1998-07-01,70.9356
1998-10-01,86.8817
1999-01-01,79.9383
1999-04-01,73.9605
1999-07-01,71.1752
1999-10-01,86.1027
2000-01-01,73.7376
2000-04-01,62.2069
2000-07-01,62.6215
2000-10-01,73.4723
2001-01-01,65.0932
2001-04-01,57.5704
2001-07-01,54.3032
2001-10-01,62.3572
2002-01-01,59.6523
2002-04-01,60.1386
2002-07-01,60.5008
2002-10-01,62.2979
2003-01-01,59.8207
2003-04-01,62.6903
2003-07-01,62.1521
2003-10-01,63.7534
2004-01-01,63.3522
2004-04-01,61.9715
2004-07-01,58.7573
2004-10-01,56.9550
2005-01-01,56.3088
2005-04-01,56.5828
2005-07-01,57.6892
2005-10-01,58.7449
2006-01-01,60.5131
2006-04-01,63.5951
2006-07-01,64.2745
2006-10-01,64.3505
2007-01-01,62.5098
2007-04-01,66.8409
2007-07-01,69.9441
2007-10-01,68.0670
2008-01-01,66.3196
2008-04-01,69.1162
2008-07-01,68.5184
2008-10-01,69.0971
2009-01-01,66.7236
2009-04-01,69.2484
2009-07-01,69.1278
2009-10-01,71.0955
2010-01-01,72.0197
2010-04-01,78.2919
2010-07-01,79.5419
2010-10-01,81.7474
2011-01-01,77.4972
2011-04-01,81.5477
2011-07-01,80.1909
2011-10-01,81.7497
2012-01-01,81.8052
2012-04-01,85.2142
2012-07-01,89.0954
2012-10-01,86.7218
2013-01-01,82.0594
2013-04-01,83.1677
2013-07-01,86.7078
2013-10-01,91.1012
2014-01-01,89.9394
2014-04-01,98.2711
2014-07-01,100.8698
2014-10-01,104.6649
2015-01-01,99.3422
2015-04-01,97.5355
2015-07-01,98.7228
2015-10-01,101.8621
2016-01-01,102.4397
2016-04-01,104.1282
2016-07-01,103.1943
2016-10-01,103.0477
2017-01-01,100.9091
2017-04-01,101.0157
2017-07-01,98.2944
2017-10-01,99.7808
2018-01-01,94.1887
2018-04-01,93.7451
2018-07-01,90.5760
2018-10-01,83.8762
2019-01-01,78.0360
2019-04-01,80.4320
2019-07-01,83.5635
2019-10-01,92.8250
2020-01-01,92.6778
2020-04-01,83.1155
2020-07-01,87.0920
2020-10-01,90.3758
2021-01-01,88.9742
2021-04-01,89.7927
2021-07-01,89.5953
2021-10-01,92.4326
2022-01-01,93.9633
2022-04-01,95.0807
2022-07-01,95.3605
2022-10-01,94.8676
2023-01-01,92.8433
2023-04-01,91.2367
2023-07-01,92.1948
